,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
22,0.05466667811075846,0.0016996279116441829,0.023000081380208332,0.0008166320775582997,1e-06,4,0.01,poly,"{'C': 1e-06, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",0.9889380530973452,0.9844097995545658,0.9865470852017937,0.9866369710467706,0.0018528064674454372,1,0.9966480446927374,0.9977728285077951,0.9977802441731409,0.9974003724578911,0.0005319846787825632
112,0.05066665013631185,0.002054862014104257,0.020999987920125324,0.0014142234528335457,1,4,0.01,poly,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
208,0.05099987983703613,0.0014142796519809341,0.02333347002665202,0.0012472136936510618,1000000.0,4,10.0,poly,"{'C': 1000000.0, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
157,0.05266650517781576,0.002867520321275593,0.021666765213012695,0.0016997370119428347,1000.0,4,0.01,poly,"{'C': 1000.0, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
118,0.054999987284342446,0.004966594877029499,0.021666765213012695,0.0009427407074916777,1,4,10.0,poly,"{'C': 1, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
25,0.05000003178914388,0.0016330694755612052,0.021666606267293293,0.0012472136936510618,1e-06,4,1.0,poly,"{'C': 1e-06, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
205,0.05233327547709147,0.0018855376132936251,0.021666685740152996,0.0004713141679983425,1000000.0,4,1.0,poly,"{'C': 1000000.0, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
115,0.05133342742919922,0.0033992869916783294,0.021666526794433594,0.00047137035374583886,1,4,1.0,poly,"{'C': 1, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
154,0.05200004577636719,0.0021602742712654127,0.022333463033040363,0.0004713141679983425,1000.0,4,0.0001,poly,"{'C': 1000.0, 'degree': 4, 'gamma': 0.0001, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
163,0.05066672960917155,0.0009427969083140529,0.0236666997273763,0.003091273489918108,1000.0,4,10.0,poly,"{'C': 1000.0, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
67,0.0516666571299235,0.002054758875046404,0.021999915440877277,0.0014142234528335457,0.001,4,0.01,poly,"{'C': 0.001, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
202,0.05033334096272787,0.0012471712309837736,0.020999987920125324,0.0008165347377806026,1000000.0,4,0.01,poly,"{'C': 1000000.0, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
70,0.06566667556762695,0.011897551227134352,0.023333311080932617,0.002054849120084089,0.001,4,1.0,poly,"{'C': 0.001, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
160,0.04933333396911621,0.0016995499801642211,0.02500009536743164,0.002943895885135575,1000.0,4,1.0,poly,"{'C': 1000.0, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
73,0.05300005276997884,0.0021601639056400704,0.023000001907348633,0.001633069471693681,0.001,4,10.0,poly,"{'C': 0.001, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
28,0.05866670608520508,0.009463365647487182,0.021666526794433594,0.00047137035374583886,1e-06,4,10.0,poly,"{'C': 1e-06, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
199,0.05433336893717448,0.00329981725941293,0.021999915440877277,0.0008165347377806026,1000000.0,4,0.0001,poly,"{'C': 1000000.0, 'degree': 4, 'gamma': 0.0001, 'kernel': 'poly'}",0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,2,1.0,1.0,1.0,1.0,0.0
185,0.0516666571299235,0.0009429655107775848,0.028333346048990887,0.0012471499763186424,1000000.0,1,0.0001,rbf,"{'C': 1000000.0, 'degree': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9800884955752213,0.9866369710467706,0.9865470852017937,0.9844097995545658,0.0030711668883426605,18,1.0,1.0,1.0,1.0,0.0
155,0.05266658465067545,0.002054758875046404,0.02866665522257487,0.0016997681837630048,1000.0,4,0.0001,rbf,"{'C': 1000.0, 'degree': 4, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9800884955752213,0.9866369710467706,0.9865470852017937,0.9844097995545658,0.0030711668883426605,18,1.0,1.0,1.0,1.0,0.0
200,0.053999900817871094,0.0014142796519809341,0.03533339500427246,0.011785101781018133,1000000.0,4,0.0001,rbf,"{'C': 1000000.0, 'degree': 4, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9800884955752213,0.9866369710467706,0.9865470852017937,0.9844097995545658,0.0030711668883426605,18,1.0,1.0,1.0,1.0,0.0
215,0.05033342043558756,0.0012471499763186424,0.029999971389770508,0.0035591030778738433,1000000.0,8,0.0001,rbf,"{'C': 1000000.0, 'degree': 8, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9800884955752213,0.9866369710467706,0.9865470852017937,0.9844097995545658,0.0030711668883426605,18,1.0,1.0,1.0,1.0,0.0
140,0.05533329645792643,0.0041096079945844915,0.028666575749715168,0.0009426845167186227,1000.0,1,0.0001,rbf,"{'C': 1000.0, 'degree': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9800884955752213,0.9866369710467706,0.9865470852017937,0.9844097995545658,0.0030711668883426605,18,1.0,1.0,1.0,1.0,0.0
170,0.05000011126200358,0.0008164374096054778,0.027333180109659832,0.0012471499763186424,1000.0,8,0.0001,rbf,"{'C': 1000.0, 'degree': 8, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9800884955752213,0.9866369710467706,0.9865470852017937,0.9844097995545658,0.0030711668883426605,18,1.0,1.0,1.0,1.0,0.0
137,0.0689999262491862,0.017719994162385122,0.0280001163482666,0.0008164374018695076,1000.0,1,1e-06,rbf,"{'C': 1000.0, 'degree': 1, 'gamma': 1e-06, 'kernel': 'rbf'}",0.9778761061946902,0.977728285077951,0.9887892376681614,0.9814402375649591,0.005170862203665294,24,0.9966480446927374,0.9944320712694877,0.9944506104328524,0.9951769087983592,0.0010402777000847784
167,0.0496667226155599,0.0009428530990877068,0.026666561762491863,0.0004714827453418679,1000.0,8,1e-06,rbf,"{'C': 1000.0, 'degree': 8, 'gamma': 1e-06, 'kernel': 'rbf'}",0.9778761061946902,0.977728285077951,0.9887892376681614,0.9814402375649591,0.005170862203665294,24,0.9966480446927374,0.9944320712694877,0.9944506104328524,0.9951769087983592,0.0010402777000847784
152,0.04900002479553223,0.0014141110612375166,0.026666720708211262,0.00047142655959197545,1000.0,4,1e-06,rbf,"{'C': 1000.0, 'degree': 4, 'gamma': 1e-06, 'kernel': 'rbf'}",0.9778761061946902,0.977728285077951,0.9887892376681614,0.9814402375649591,0.005170862203665294,24,0.9966480446927374,0.9944320712694877,0.9944506104328524,0.9951769087983592,0.0010402777000847784
97,0.04366660118103027,0.002494321189668092,0.0236666997273763,0.0012474048564998271,1,1,0.01,poly,"{'C': 1, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.9734513274336283,0.9755011135857461,0.9887892376681614,0.9792130660727543,0.0067894128601501255,27,1.0,1.0,1.0,1.0,0.0
58,0.04366660118103027,0.001247128731420033,0.021666606267293293,0.0004712579621498098,0.001,1,10.0,poly,"{'C': 0.001, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'}",0.9734513274336283,0.9755011135857461,0.9887892376681614,0.9792130660727543,0.0067894128601501255,27,1.0,1.0,1.0,1.0,0.0
87,0.042999823888142906,0.0008165347377806026,0.024666706720987957,0.0004713141679983425,0.001,8,10.0,linear,"{'C': 0.001, 'degree': 8, 'gamma': 10.0, 'kernel': 'linear'}",0.9756637168141593,0.977728285077951,0.9820627802690582,0.9784706755753526,0.002664570510247646,29,0.9854748603351955,0.9922048997772829,0.9889012208657048,0.9888603269927277,0.0027476792576825357
