,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params
0,0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,1,0.035000006357828774,0.0035590584183557666,0.01700003941853841,0.0014141672603851711,34.55097089453417,4,0.00872694419202044,linear,"{'C': 34.55097089453417, 'degree': 4, 'gamma': 0.00872694419202044, 'kernel': 'linear'}"
29,0.9845132743362832,0.9844097995545658,0.9865470852017937,0.9851521900519673,0.0009823129957200717,1,0.037999868392944336,0.005099164275597186,0.018000046412150066,0.004320658908312845,1000000.0,4,3.370499237762171e-05,poly,"{'C': 1000000.0, 'degree': 4, 'gamma': 3.370499237762171e-05, 'kernel': 'poly'}"
28,0.10619469026548672,0.10690423162583519,0.10538116591928251,0.10616184112843356,0.0006211847911171387,1,0.21233320236206055,0.003681714421231899,0.0646668275197347,0.0016996590817492557,113462.07688664863,4,1e-06,poly,"{'C': 113462.07688664863, 'degree': 4, 'gamma': 1e-06, 'kernel': 'poly'}"
27,0.10619469026548672,0.10690423162583519,0.10538116591928251,0.10616184112843356,0.0006211847911171387,1,0.31800007820129395,0.0924444877661041,0.0733332633972168,0.008379774817703241,0.0009864788905944507,1,1e-06,rbf,"{'C': 0.0009864788905944507, 'degree': 1, 'gamma': 1e-06, 'kernel': 'rbf'}"
26,0.9734513274336283,0.9755011135857461,0.9865470852017937,0.9784706755753526,0.0057437808481749396,1,0.0386666456858317,0.0012472349320385085,0.01833335558573405,0.00047142655959197545,0.01052237732997403,4,0.050919188740764114,linear,"{'C': 0.01052237732997403, 'degree': 4, 'gamma': 0.050919188740764114, 'kernel': 'linear'}"
25,0.9269911504424779,0.9510022271714922,0.9394618834080718,0.9391239792130661,0.009821664502504839,1,0.0903333028157552,0.004496969500014687,0.037666638692220054,0.005312363328676197,7.104350065862047e-05,7,0.439912621601911,linear,"{'C': 7.104350065862047e-05, 'degree': 7, 'gamma': 0.439912621601911, 'kernel': 'linear'}"
24,0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,1,0.035000006357828774,0.002160200692859184,0.016666650772094727,0.0026246607333511155,540228.1314265475,3,0.007026557577940842,linear,"{'C': 540228.1314265475, 'degree': 3, 'gamma': 0.007026557577940842, 'kernel': 'linear'}"
23,0.9734513274336283,0.977728285077951,0.9753363228699552,0.9755011135857461,0.0017528038365944968,1,0.045666774113972984,0.0009426845167186228,0.025999943415323894,1.1239159602905075e-07,0.0007952228143992522,8,10.0,linear,"{'C': 0.0007952228143992522, 'degree': 8, 'gamma': 10.0, 'kernel': 'linear'}"
22,0.9712389380530974,0.9755011135857461,0.984304932735426,0.9769858945805494,0.00543639463011057,1,0.035666704177856445,0.001247128731420033,0.016666571299235027,0.0026247414806517093,0.668641765593808,5,0.24473258881766866,linear,"{'C': 0.668641765593808, 'degree': 5, 'gamma': 0.24473258881766866, 'kernel': 'linear'}"
21,0.9690265486725663,0.977728285077951,0.968609865470852,0.9717891610987379,0.004203038544928106,1,0.04999995231628418,0.0037415773545775976,0.030666828155517578,0.001247128731420033,0.00028108710116846224,4,1.1079915119264997e-05,linear,"{'C': 0.00028108710116846224, 'degree': 4, 'gamma': 1.1079915119264997e-05, 'kernel': 'linear'}"
20,0.9845132743362832,0.9866369710467706,0.9865470852017937,0.985894580549369,0.0009823129957200912,1,0.04133335749308268,0.0030912477828979263,0.02000006039937337,0.0016329721386832868,181461.71555882538,3,2.5140035671583783e-05,poly,"{'C': 181461.71555882538, 'degree': 3, 'gamma': 2.5140035671583783e-05, 'kernel': 'poly'}"
19,0.9712389380530974,0.9755011135857461,0.9641255605381166,0.9703043801039347,0.004683588321468409,1,0.048333326975504555,0.003399505193990856,0.01766665776570638,0.0009426845167186227,486.03805956127394,7,0.0016616050517818158,poly,"{'C': 486.03805956127394, 'degree': 7, 'gamma': 0.0016616050517818158, 'kernel': 'poly'}"
